3Alpha_Code,Name_En,Scientific_Name,Family,Order,Major_Group,ISSCAAP_Group,CPC_Class,CPC_Group
LAU,Sea lamprey,Petromyzon marinus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAR,River lamprey,Lampetra fluviatilis,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDK,Least brook lamprey,Lampetra aepyptera,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDL,Western American river lamprey,Lampetra ayresii,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDN,European brook lamprey,Lampetra planeri,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDO,Western brook lamprey,Lampetra richardsoni,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKQ,Turkish brook lamprey,Lampetra lanceolata,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKR,Pacific brook lamprey,Lampetra pacifica,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAY,Silver lamprey,Ichthyomyzon unicuspis,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDE,Ohio lamprey,Ichthyomyzon bdellium,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDG,Chestnut lamprey,Ichthyomyzon castaneus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDH,Northern brook lamprey,Ichthyomyzon fossor,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDI,Southern brook lamprey,Ichthyomyzon gagei,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDJ,Mountain brook lamprey,Ichthyomyzon greeleyi,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAF,Ukrainian brook lamprey,Eudontomyzon mariae,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICJ,Carpathian lamprey,Eudontomyzon danfordi,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKG,,Eudontomyzon graecus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKJ,Greek brook lamprey,Eudontomyzon hellenicus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKL,Korean lamprey,Eudontomyzon morii,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAW,Caspian lamprey,Caspiomyzon wagneri,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LSZ,Arctic lamprey,Lethenteron camtschaticum,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDQ,Siberian lamprey,Lethenteron kessleri,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDT,Western Transcaucasian lamprey,Lethenteron ninae,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDU,Far Eastern brook lamprey,Lethenteron reissneri,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IDV,Lombardy brook lamprey,Lethenteron zanandreai,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKT,Alaskan brook lamprey,Lethenteron alaskense,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKU,American brook lamprey,Lethenteron appendix,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAO,Pacific lamprey,Entosphenus tridentatus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJX,Northern California lamprey,Entosphenus folletti,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJY,Kern brook lamprey,Entosphenus hubbsi,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IJZ,Pit–Klamath brook lamprey,Entosphenus lethophagus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKD,Vancouver lamprey,Entosphenus macrostomus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKE,Miller Lake lamprey,Entosphenus minimus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKF,Klamath lamprey,Entosphenus similis,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKV,Jacona lamprey,Tetrapleurodon geminis,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IKW,Chapala lamprey,Tetrapleurodon spadiceus,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAS,Lampreys nei,Petromyzontidae,PETROMYZONTIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICE,Chilean lamprey,Mordacia lapicida,MORDACIIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ICF,,Mordacia praecox,MORDACIIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAK,Australian lamprey,Mordacia mordax,MORDACIIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LAE,Pouched lamprey,Geotria australis,GEOTRIIDAE,PETROMYZONTIFORMES,PISCES,Miscellaneous diadromous fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYP,Brown hagfish,Paramyxine atami,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYG,Hagfish,Myxine glutinosa,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYE,,Nemamyxine elongata,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYB,Inshore hagfish,Eptatretus burgeri,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYU,Pacific hagfish,Eptatretus stoutii,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MWC,Broadgilled hagfish,Eptatretus cirrhatus,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MYX,Hagfishes nei,Myxinidae,MYXINIDAE,MYXINIFORMES,PISCES,Miscellaneous coastal fishes,"Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEF,Horn shark,Heterodontus francisci,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEG,Crested bullhead shark,Heterodontus galeatus,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEJ,Japanese bullhead shark,Heterodontus japonicus,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEM,Mexican hornshark,Heterodontus mexicanus,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEK,Port Jackson shark,Heterodontus portusjacksoni,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEQ,Galapagos bullhead shark,Heterodontus quoyi,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEA,Whitespotted bullhead shark,Heterodontus ramalheira,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEZ,Zebra bullhead shark,Heterodontus zebra,HETERODONTIDAE,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HDQ,Bullhead sharks,Heterodontiformes,,HETERODONTIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXC,Frilled shark,Chlamydoselachus anguineus,CHLAMYDOSELACHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HWR,African frilled shark,Chlamydoselachus africana,CHLAMYDOSELACHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SBL,Bluntnose sixgill shark,Hexanchus griseus,HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXN,Bigeyed sixgill shark,Hexanchus nakamurai,HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXT,Sharpnose sevengill shark,Heptranchias perlo,HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
NTC,Broadnose sevengill shark,Notorynchus cepedianus,HEXANCHIDAE,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HXW,Frilled and cow sharks,Hexanchiformes,,HEXANCHIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
BSK,Basking shark,Cetorhinus maximus,CETORHINIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CCT,Sand tiger shark,Carcharias taurus,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LOU,Indian sand tiger,Carcharias tricuspidatus,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LOO,Smalltooth sand tiger,Odontaspis ferox,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ODH,Bigeye sand tiger shark,Odontaspis noronhai,ODONTASPIDIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMO,Goblin shark,Mitsukurina owstoni,MITSUKURINIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PSK,Crocodile shark,Pseudocarcharias kamoharai,PSEUDOCARCHARIIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMP,Megamouth shark,Megachasma pelagios,MEGACHASMIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ALV,Thresher,Alopias vulpinus,ALOPIIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PTH,Pelagic thresher,Alopias pelagicus,ALOPIIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
BTH,Bigeye thresher,Alopias superciliosus,ALOPIIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
THR,Thresher sharks nei,Alopias spp,ALOPIIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SMA,Shortfin mako,Isurus oxyrinchus,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMA,Longfin mako,Isurus paucus,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MAK,Mako sharks,Isurus spp,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
POR,Porbeagle,Lamna nasus,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMD,Salmon shark,Lamna ditropis,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
WSH,Great white shark,Carcharodon carcharias,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
MSK,"Mackerel sharks,porbeagles nei",Lamnidae,LAMNIDAE,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
LMZ,Mackerel sharks,Lamniformes,,LAMNIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
OSF,Zebra shark,Stegostoma fasciatum,STEGOSTOMATIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORE,Tasselled wobbegong,Eucrossorhinus dasypogon,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORJ,Japanese wobbegong,Orectolobus japonicus,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORT,Spotted wobbegong,Orectolobus maculatus,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORO,Ornate wobbegong,Orectolobus ornatus,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORV,Northern wobbegong,Orectolobus wardi,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORS,Cobbler wobbegong,Sutorectus tentaculatus,ORECTOLOBIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
GNC,Nurse shark,Ginglymostoma cirratum,GINGLYMOSTOMATIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORX,Short-tail nurse shark,Ginglymostoma brevicaudatum,GINGLYMOSTOMATIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
GNG,Nurse sharks nei,Ginglymostoma spp,GINGLYMOSTOMATIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORZ,Tawny nurse shark,Nebrius ferrugineus,GINGLYMOSTOMATIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORF,Indonesia speckled carpetshark,Hemiscyllium freycineti,HEMISCYLLIIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORK,Papuan epaulette shark,Hemiscyllium hallstromi,HEMISCYLLIIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORN,Epaulette shark,Hemiscyllium ocellatum,HEMISCYLLIIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ORQ,Hooded carpetshark,Hemiscyllium strahani,HEMISCYLLIIDAE,ORECTOLOBIFORMES,PISCES,"Sharks, rays, chimaeras","Other fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
