Fish,Rating,Sustainability rating,Pesce
Abalone ,one,1,Abalone 
Anchovy European anchovy ,from two to three,2-3,Accovy Accovy europeo 
Anchovy Peruvian anchovy ,from two to three,2-3,Accovina peruviana di acciughe. 
Arctic char ,one,1,salmerino alpino 
Basa Tra Catfish or Vietnamese River Cobbler ,from two to four,2-4,Basa Tra Catfish o Cobbler del fiume vietnamita 
Bass seabass (Caught at sea) ,from three to five,3-5,Bass Seabass (catturato in mare) 
Bass seabass (Farmed) ,from three to four,3-4,Bass Seabass (coltivato) 
Bream Black or porgy or seabream ,from three to five,3-5,Bream Black o Porgy o Seabream 
Bream Gilthead (Caught at sea) ,from three to four,3-4,Gilthead di orata (catturato in mare) 
Bream Gilthead (Farmed) ,from three to four,3-4,Bream Gilthead (coltivato) 
Brill ,from three to four,3-4,Brillante 
Clam Manila (Farmed) ,one,1,Manila vongola (coltivato) 
Clam Manila Japanese carpet shell (Caught at sea) ,rating under review,rating under review,Guscio di tappeto giapponese Manila di Manila (catturato in mare) 
Clam Razor clams ,from three to five,3-5,Vongole di rasoio di clam 
Cockle cockles ,from three to five,3-5,Cockle Dockles. 
Cod Atlantic Cod ,from one to five,1-5,Codice di codice Atlantico 
Cod Pacific Cod ,from one to four,1-4,Codice del codice Pacifico 
Coley Saithe ,from one to three,1-3,Coley Saithe. 
Crab brown or edible ,from two to four,2-4,Granchio marrone o commestibile 
Crab spider ,from three to four,3-4,Crab Spider. 
Crab Velvet swimming ,from three to four,3-4,Nuoto in velluto granchio 
Crawfish ,from four to five,4-5,Brawfish. 
Cuttlefish Common ,from four to five,4-5,Seppie comune 
Dab ,from two to four,2-4,Tamponare 
Devil fish Giant Devil ray ,five,5,Devil Fish Gigy Devil Ray 
Dogfish Lesser Spotted ,four,4,Dogfish minore macchiato 
Eel Conger ,five,5,Anguilla conger 
Eel European ,five,5,Eel European. 
Flounder ,three,3,Platessa 
Grouper ,five,5,Cernia 
Guitarfish ,five,5,Chitarrfish. 
Gurnard Grey ,three,3,Gurnard Gray. 
Gurnard Red ,from three to four,3-4,Gurnard Red. 
Gurnard Yellow or Tub ,five,5,Gurnard Giallo o vasca 
Haddock ,from two to four,2-4,Egleo 
Hake Cape ,three,3,Hake Cape. 
Hake European ,from one to two,1-2,Hake European. 
Halibut Atlantic (Caught at sea) ,five,5,Halibut Atlantic (catturato in mare) 
Halibut Atlantic (Farmed) ,from one to three,1-3,Halibut Atlantic (coltivato) 
Halibut Greenland ,from four to five,4-5,Halibut Groenland. 
Herring or sild ,from one to five,1-5,Aringhe o vendute 
Horse Mackerel Scad ,from two to five,2-5,Cavallo Macellamente Scad. 
John Dory ,four,4,John Dory. 
Kingfish yellowtail ,from one to two,1-2,Kingfish Yellowtail. 
Limpet Slipper ,two,2,Rilascio zoppicato 
Ling ,from three to four,3-4,l ing. 
Lobster American ,rating under review,rating under review,Aragosta americano. 
Lobster European ,from two to four,2-4,Aragosta europea 
Lobster Norway Langoustine Dublin Bay prawn or scampi ,from two to five,2-5,Aragosta Norvegia Langoustine Dublino Bay Gamberetto o Scampi 
Mackerel ,from one to two,1-2,Sgombro 
Marlin blue ,five,5,Marlin Blue. 
Meagre ,from three to four,3-4,"['Magro', 'Magra']"
Megrim ,from two to three,2-3,Megrim. 
Monkfish Anglerfish ,four,4,Monkfish Prishfish. 
Monkfish Anglerfish Black-bellied ,from three to four,3-4,Monaco pescatore pescatore nero-gonfiato 
Monkfish Anglerfish White ,from two to three,2-3,Monkfish pescatore pescatore bianco. 
Mullet Grey Thicklip ,from four to five,4-5,Mullet Grey Phinslip. 
Mullet Red Striped red mullet ,from three to five,3-5,Triglia rossa rossa rossa muro 
Mussel Chilean (Farmed) ,one,1,Cozze cileno (coltivato) 
Mussel mussels (Caught at sea) ,three with at least one rating under review,3*,Cozze di cozze (catturate in mare) 
Mussel mussels (Farmed) ,one,1,Cozze di cozze (coltivate) 
Nursehound Bull Huss Greater Spotted Dogfish ,five,5,Nurshound Bull Huss Greater Spotted Dogfish 
Octopus Common ,from four to five,4-5,Polpo comune 
Octopus Horned ,from four to five,4-5,Octopus cornuto 
Oyster Native oysters ,from one to five,1-5,Ostriche native Oyster. 
Oyster Pacific oysters ,one,1,Oyster Pacific Oysters. 
Oyster Pacific oysters (Caught at sea) ,two,2,Oyster Pacific Oyster (catturato in mare) 
Oyster Pacific oysters (Farmed) ,one,1,Oyster Oyster Pacific (allevata) 
Plaice ,from two to five with at least one rating under review,2-5*,Passera di mare 
Pollack or Lythe ,from three to four,3-4,Pollack o Lythe. 
Pollock Alaska Walleye ,from one to five,1-5,Pollock Alaska Walleye. 
Pouting or Bib ,four,4,Broncio o pettorale 
Prawn Giant River prawns ,three,3,Gamberi fluviali giganti del gamberetto 
Prawn King (whiteleg) prawns ,from one to five,1-5,Gamberetti del dambing re (whiteleg) 
