Species,Gear Types
Albacore tuna,Hooks And Lines - Trolling lines
Albacore tuna,Hooks And Lines - Trolling lines
Ballot's saucer scallop,Trawls - Otter twin trawls
Skipjack tuna,Hooks And Lines - Handlines and pole-lines (hand-operated)
"Skipjack tuna, Yellowfin tuna, Bigeye tuna",Surrounding Nets - With purse lines (purse seines)
Atlantic cod,Trawls - Bottom trawls
Antarctic krill,Trawls - Midwater trawls
"Kamchatka flounder, Arrow-tooth flounder, Flathead sole, Northern rock sole, Yellowfin sole, Alaska plaice",Trawls - Bottom trawls
"Arrow-tooth flounder, Rex sole, Flathead sole, Southern rock sole, Northern rock sole",Trawls - Bottom trawls - otter trawls
Pacific cod,"Hooks And Lines - Longlines, Hooks And Lines - Trolling lines, Traps - Pots, Trawls - Bottom trawls"
Pacific cod,"Hooks And Lines - Longlines, Hooks And Lines - Trolling lines, Traps - Pots, Trawls - Bottom trawls"
Walleye pollock,Trawls - Midwater trawls
Walleye pollock,Trawls - Midwater trawls
"Pink salmon, Chum salmon, Coho-silver salmon, Sockeye-red salmon, Chinook salmon","Gillnets And Entangling Nets - Driftnets, Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Seine Nets, Surrounding Nets - With purse lines (purse seines), Traps - Barriers, fences, weirs, etc."
"Atka mackerel, Pacific ocean perch, Northern rockfish, Dusky rockfish",Trawls - Bottom trawls
"Albacore tuna, Yellowfin tuna",Hooks And Lines - Longlines
Albacore tuna,"Hooks And Lines - Handlines and pole-lines (mechanized), Hooks And Lines - Trolling lines"
Yellowfin tuna,Surrounding Nets - With purse lines (purse seines)
Pink salmon,Traps
"Pink salmon, Chum salmon, Coho-silver salmon, Sockeye-red salmon, Chinook salmon","Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Seine Nets"
"Snow crab, Red king crab",Traps - Pots
Greenland halibut,Gillnets And Entangling Nets - Gillnets
Snow crab,Traps
Argentine anchovy,Trawls - Midwater trawls
Argentine hoki,"Trawls - Bottom trawls, Trawls - Midwater trawls"
Patagonia toothfish,"Hooks And Lines - Longlines, Traps, Trawls - Bottom trawls"
"Atlantic cod, Haddock, Saithe(=Pollock)",Trawls - Bottom trawls
Short neck clam,"Dredges - Hand dredges, Traps"
"Atlantic wolffish, Atlantic cod, Haddock","Hooks And Lines - Handlines and pole-lines (mechanized), Hooks And Lines - Longlines, Seine Nets - Boat or vessel seines - Danish seines"
Red crab,Traps - Pots
Hoki,"Trawls - Bottom trawls, Trawls - Midwater trawls"
Mackerel icefish,"Trawls - Bottom trawls, Trawls - Midwater trawls"
"Indian white prawn, Banana prawn, Blue endeavour prawn, Red endeavour prawn, Grooved tiger prawn, Brown tiger prawn",Trawls - Bottom trawls - otter trawls
Orange roughy,Trawls - Bottom trawls
Silverlip pearl oyster,Miscellaneous Gear
Hoki,Trawls - Midwater trawls
"Albacore tuna, Yellowfin tuna, Bigeye tuna, Swordfish",Hooks And Lines - Longlines
"Mackerel icefish, Patagonia toothfish","Hooks And Lines - Set longlines, Trawls - Bottom trawls, Trawls - Midwater trawls"
"Redbait, Blue mackerel, Greenback horse mackerel",Trawls - Midwater trawls
Crystal crab,Traps - Pots
Rock lobster,Traps - Pots
"Atlantic cod, Haddock, Saithe(=Pollock)",Trawls - Bottom trawls - otter trawls
Southern Australia scallop,Dredges - Boat dredges
Whelk,Traps - Pots
European pilchard(=Sardine),Surrounding Nets - With purse lines (purse seines)
American lobster,Traps - Pots
Pacific cod,Hooks And Lines - Longlines
European flat oyster,"Dredges - Boat dredges, Traps"
European perch,Traps - Stationary uncovered pound nets
"Blonde ray, Sandy ray, Thornback ray, Small-eyed ray, Spotted ray, Cuckoo ray",Trawls - Otter trawls
Sea bass,Trawls - Bottom trawls - otter trawls
Chum salmon,"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Seine Nets"
Pink salmon,"Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Seine Nets"
"Pink salmon, Chum salmon, Sockeye-red salmon","Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Lift Nets, Seine Nets, Seine Nets - Beach seines, Traps - Barriers, fences, weirs, etc."
