Gear Types,Locations
Hooks And Lines - Trolling lines,"67 (Pacific, Northeast), 77 (Pacific, Eastern Central)"
Hooks And Lines - Trolling lines,"77 (Pacific, Eastern Central), 81 (Pacific, Southwest)"
Trawls - Otter twin trawls,"57 (Indian Ocean, Eastern)"
Hooks And Lines - Handlines and pole-lines (hand-operated),"41 (Atlantic, Southwest)"
Surrounding Nets - With purse lines (purse seines),"31 (Atlantic, Western Central), 34 (Atlantic, Eastern Central), 41 (Atlantic, Southwest), 47 (Atlantic, Southeast), 51 (Indian Ocean, Western), 57 (Indian Ocean, Eastern), 71 (Pacific, Western Central), 77 (Pacific, Eastern Central), 87 (Pacific, Southeast)"
Trawls - Bottom trawls,"27 (Atlantic, Northeast)"
Trawls - Midwater trawls,"48 (Atlantic, Antarctic)"
Trawls - Bottom trawls,"61 (Pacific, Northwest), 67 (Pacific, Northeast)"
Trawls - Bottom trawls - otter trawls,"67 (Pacific, Northeast)"
"Hooks And Lines - Longlines, Hooks And Lines - Trolling lines, Traps - Pots, Trawls - Bottom trawls","61 (Pacific, Northwest), 67 (Pacific, Northeast)"
"Hooks And Lines - Longlines, Hooks And Lines - Trolling lines, Traps - Pots, Trawls - Bottom trawls","67 (Pacific, Northeast)"
Trawls - Midwater trawls,"61 (Pacific, Northwest), 67 (Pacific, Northeast)"
Trawls - Midwater trawls,"67 (Pacific, Northeast)"
"Gillnets And Entangling Nets - Driftnets, Gillnets And Entangling Nets - Gillnets, Hooks And Lines - Trolling lines, Seine Nets, Surrounding Nets - With purse lines (purse seines), Traps - Barriers, fences, weirs, etc.","18 (Arctic Sea), 67 (Pacific, Northeast)"
Trawls - Bottom trawls,"61 (Pacific, Northwest), 67 (Pacific, Northeast)"
Hooks And Lines - Longlines,"81 (Pacific, Southwest)"
"Hooks And Lines - Handlines and pole-lines (mechanized), Hooks And Lines - Trolling lines","77 (Pacific, Eastern Central)"
